,Rm-Rf,SMB,HML,RMW,CMA,Rf,Mom,ST_Rev,Rp_ew_cc,Rp_ew_fi,Rp_vw_cc,Rp_vw_fi
15/10/1991,1.23,-0.12,-0.08,-0.03,-0.23,0.018,0.92,0.33,0.002382341,0.002802754,0.002332329,0.00276262
16/10/1991,0.64,0.68,-0.11,-0.28,-0.17,0.018,0.96,-0.11,0.005158123,0.00606838,0.005076443,0.006010416
17/10/1991,-0.29,0.16,-0.02,-0.22,0.18,0.018,-0.12,0.13,-0.002506126,-0.002948384,-0.002512066,-0.002971479
18/10/1991,0.18,0.17,0.15,-0.29,0.03,0.018,0.26,-0.07,0.003662422,0.004308731,0.003585486,0.004243163
21/10/1991,-0.6,0.42,-0.04,-0.11,-0.1,0.018,-0.13,-0.17,-0.004917197,-0.006146497,-0.00505304,-0.006382779
22/10/1991,-0.43,0.52,-0.17,-0.39,0.03,0.018,-0.11,-0.42,0.00039745,0.000496812,0.00034447,0.000435702
23/10/1991,-0.05,-0.13,-0.27,0.01,0.14,0.018,0.08,0.04,0.000761086,0.001014782,0.00076707,0.001036412
24/10/1991,-0.81,-0.3,0.38,-0.07,0.47,0.018,-0.38,0.88,-0.004767703,-0.006356938,-0.004636125,-0.006262326
25/10/1991,-0.3,-0.23,0.35,-0.19,0.1,0.018,-0.68,0.41,0.004227253,0.005636337,0.004064015,0.005498521
28/10/1991,1.18,-0.79,-0.31,0.05,-0.12,0.018,0.73,0.22,3.83E-07,5.10E-07,-0.00015217,-0.000205589
29/10/1991,0.57,0.03,0.05,0.05,-0.07,0.018,0.24,-0.04,0.001413003,0.001884005,0.001347861,0.001821121
30/10/1991,0.52,0.2,0.23,-0.45,-0.18,0.018,0.59,0.03,0.000703152,0.000937536,0.000598317,0.000808016
31/10/1991,0.09,0.68,-0.43,-0.18,-0.04,0.018,0.34,-0.33,0.001644238,0.002192317,0.001567367,0.002116257
01/11/1991,-0.31,0.14,-0.28,0.07,0.49,0.02,-0.06,0.26,-0.002961746,-0.003948995,-0.003109204,-0.004195743
04/11/1991,-0.34,-0.11,0.03,0.23,0.04,0.02,-0.03,-0.09,0.000116015,0.000154687,2.91E-05,3.93E-05
05/11/1991,-0.26,0.31,0.01,-0.17,-0.13,0.02,0.3,0.03,-0.002955758,-0.003941011,-0.002895859,-0.003912067
06/11/1991,0.28,-0.18,0.27,-0.09,-0.01,0.02,0.24,0,0.003575436,0.004767247,0.003301112,0.00446408
07/11/1991,0.92,-0.21,-0.2,-0.08,-0.18,0.02,0.53,0.07,-0.01045317,-0.01393756,-0.010069729,-0.013601484
08/11/1991,0.01,0.37,-0.19,-0.17,0.04,0.02,0.25,0.16,-0.001418354,-0.001891139,-0.00152576,-0.002068269
11/11/1991,0.15,0.24,-0.68,0.01,-0.21,0.02,0.43,-0.38,0.001822554,0.002430072,0.001581954,0.00215133
12/11/1991,0.87,-0.19,-0.22,0.07,-0.08,0.02,0.83,-0.08,-0.000984675,-0.001312899,-0.000875587,-0.001190051
13/11/1991,0.12,-0.19,0.09,0.48,0.02,0.02,0.11,0.14,0.000985005,0.001231256,0.000889128,0.001128059
14/11/1991,-0.11,-0.05,-0.07,0.23,-0.16,0.02,0.09,-0.01,-0.006921302,-0.008651627,-0.00703979,-0.008929428
15/11/1991,-3.55,0.25,1.05,0.16,0.88,0.02,-1.82,1.56,0.003162101,0.003952627,0.00345807,0.004394657
18/11/1991,0.5,-0.57,-0.89,0.41,-0.41,0.02,0.28,0.87,0.002622908,0.003278635,0.002420508,0.003073213
19/11/1991,-1.6,-0.74,0.32,0.18,0.17,0.02,-0.85,0.25,-0.004753289,-0.005941611,-0.004472702,-0.005675097
20/11/1991,-0.13,0.47,-0.08,-0.29,-0.02,0.02,0.75,0.04,-0.004569127,-0.005711408,-0.004354487,-0.005531783
21/11/1991,0.43,-0.13,-0.38,-0.18,0.22,0.02,0.38,-0.34,-0.000896455,-0.001120569,-0.001029262,-0.001309085
22/11/1991,-0.95,0.32,-0.29,0.43,-0.31,0.02,0.21,-0.26,-0.003602935,-0.004503669,-0.003424519,-0.004356757
25/11/1991,-0.33,-0.41,0.08,-0.24,-0.22,0.02,-0.06,-0.07,-0.005450753,-0.006813441,-0.004603326,-0.005861947
26/11/1991,0.5,-0.93,0.09,0.09,0.03,0.02,-0.05,0.14,0.000322576,0.00040322,0.000777684,0.000991569
27/11/1991,-0.22,0.11,-0.33,-0.18,0.15,0.02,0.4,0.07,0.00241775,0.003022188,0.002479587,0.003160866
29/11/1991,-0.18,0.61,-0.37,-0.05,-0.21,0.02,0.16,-0.04,0.006825311,0.009100415,0.006895488,0.009445181
02/12/1991,1.38,-1.31,-0.6,0.57,-0.52,0.018,0.95,0.33,-0.001823551,-0.002431402,-0.001394376,-0.00190514
03/12/1991,0.07,0.35,-0.48,0.21,-0.56,0.018,0.81,-0.15,-0.001629952,-0.002328503,-0.002315932,-0.00342231
